Name:,Dotabuff:,MMR:,Buck's Bucks,Remaining:
Pearberr,https://www.dotabuff.com/players/81110788,2210,580,580
Veetoo,https://www.dotabuff.com/players/522326,2300,575,575
TCSlayer,https://www.dotabuff.com/players/175578085,2390,575,575
Wicked_SiCK,https://www.dotabuff.com/players/118128399,2410,570,570
Tyr,https://www.dotabuff.com/players/96258353,3000,545,545
jmcconnell,https://www.dotabuff.com/players/127252365,3760,515,515
bsv,https://www.dotabuff.com/players/67739802,3800,510,510
Clare,https://www.dotabuff.com/players/102264839,4000,505,505
Miyushi,https://www.dotabuff.com/players/117329309,4300,490,490
Vuvu,https://www.dotabuff.com/players/65495278,4500,480,480
Mooshack,https://www.dotabuff.com/players/41807270,4700,470,470
oof,https://www.dotabuff.com/players/180022403,4850,465,465
CRAP,https://www.dotabuff.com/players/42291565,4860,465,465
Yop,https://www.dotabuff.com/players/89699373,5180,450,450
MOCA,https://www.dotabuff.com/players/92001890,5300,445,445
Ezpz,https://www.dotabuff.com/players/86984684,5350,445,445
UltraGunner,https://www.dotabuff.com/players/106670947,7020,370,370